trace_id,true_label,pred_label,confidence,correct
0,Anomaly,Anomaly,0.99992615,True
1,Normal,Normal,1.0,True
2,Normal,Normal,1.0,True
3,Normal,Normal,1.0,True
4,Normal,Normal,1.0,True
5,Normal,Normal,1.0,True
6,Normal,Normal,1.0,True
7,Normal,Normal,1.0,True
8,Anomaly,Anomaly,0.9999996,True
9,Normal,Normal,1.0,True
10,Normal,Normal,0.99971205,True
11,Normal,Normal,1.0,True
12,Normal,Normal,1.0,True
13,Normal,Normal,1.0,True
14,Normal,Normal,1.0,True
15,Normal,Normal,1.0,True
16,Normal,Normal,1.0,True
17,Normal,Normal,1.0,True
18,Anomaly,Anomaly,0.99929017,True
19,Anomaly,Anomaly,0.9992963,True
20,Normal,Normal,1.0,True
21,Normal,Normal,1.0,True
22,Normal,Normal,1.0,True
23,Normal,Normal,1.0,True
24,Normal,Normal,1.0,True
25,Normal,Normal,1.0,True
26,Normal,Normal,1.0,True
27,Anomaly,Anomaly,0.99988616,True
28,Normal,Normal,1.0,True
29,Normal,Normal,1.0,True
30,Normal,Normal,1.0,True
31,Normal,Normal,1.0,True
32,Normal,Normal,0.9997422,True
33,Normal,Normal,1.0,True
34,Normal,Normal,1.0,True
35,Normal,Normal,1.0,True
36,Normal,Normal,1.0,True
37,Normal,Normal,1.0,True
38,Anomaly,Anomaly,0.9999973,True
39,Normal,Normal,1.0,True
40,Normal,Normal,1.0,True
41,Normal,Normal,1.0,True
42,Normal,Normal,1.0,True
43,Normal,Normal,1.0,True
44,Normal,Normal,1.0,True
45,Anomaly,Anomaly,0.99999636,True
46,Normal,Normal,1.0,True
47,Normal,Normal,1.0,True
48,Normal,Normal,1.0,True
49,Normal,Normal,1.0,True
50,Anomaly,Anomaly,0.9997131,True
51,Normal,Normal,0.99979883,True
52,Normal,Normal,1.0,True
53,Normal,Normal,1.0,True
54,Normal,Normal,1.0,True
55,Normal,Normal,1.0,True
56,Normal,Normal,1.0,True
57,Normal,Normal,1.0,True
58,Normal,Normal,1.0,True
59,Normal,Normal,1.0,True
60,Normal,Normal,1.0,True
61,Normal,Normal,1.0,True
62,Normal,Normal,1.0,True
63,Normal,Normal,1.0,True
64,Normal,Normal,1.0,True
65,Normal,Normal,1.0,True
66,Normal,Normal,1.0,True
67,Normal,Normal,1.0,True
68,Normal,Normal,1.0,True
69,Normal,Normal,1.0,True
70,Normal,Normal,0.9997656,True
71,Normal,Normal,1.0,True
72,Normal,Normal,1.0,True
73,Normal,Normal,1.0,True
74,Normal,Normal,1.0,True
75,Normal,Normal,1.0,True
76,Normal,Normal,1.0,True
77,Normal,Normal,1.0,True
78,Normal,Normal,1.0,True
79,Normal,Normal,1.0,True
80,Normal,Normal,1.0,True
81,Normal,Normal,1.0,True
82,Normal,Normal,1.0,True
83,Anomaly,Anomaly,0.9999933,True
84,Anomaly,Anomaly,0.9999984,True
85,Normal,Normal,1.0,True
86,Normal,Normal,0.9997559,True
87,Normal,Normal,1.0,True
88,Normal,Normal,1.0,True
89,Normal,Normal,1.0,True
90,Normal,Normal,1.0,True
91,Anomaly,Anomaly,0.9996327,True
92,Normal,Normal,1.0,True
93,Normal,Normal,0.99984807,True
94,Normal,Normal,1.0,True
95,Normal,Normal,1.0,True
96,Normal,Normal,1.0,True
97,Normal,Normal,1.0,True
98,Normal,Normal,1.0,True
99,Anomaly,Anomaly,0.99964565,True
